type,price,profit,pair,scenario,timeframe,ema1,ema2
BUY,137.88,,SOLUSDT,StochRSI,4h,14,26
SELL,133.91,-22808.86267127283,SOLUSDT,StochRSI,4h,14,26
BUY,133.49,,SOLUSDT,StochRSI,4h,14,26
SELL,131.27,-13210.514417179511,SOLUSDT,StochRSI,4h,14,26
BUY,123.3,,SOLUSDT,StochRSI,4h,14,26
BUY,4.041,,SOLUSDT,StochRSI,1d,14,26
SELL,35.43,77553.61385968818,SOLUSDT,StochRSI,1d,14,26
BUY,36.157,,SOLUSDT,StochRSI,1d,14,26
SELL,30.837,-12986.80061658546,SOLUSDT,StochRSI,1d,14,26
BUY,34.165,,SOLUSDT,StochRSI,1d,14,26
SELL,200.69,362836.09450656397,SOLUSDT,StochRSI,1d,14,26
BUY,211.65,,SOLUSDT,StochRSI,1d,14,26
SELL,200.67,-23272.024644953373,SOLUSDT,StochRSI,1d,14,26
BUY,132.14,,SOLUSDT,StochRSI,1d,14,26
SELL,99.67,-102199.15653192368,SOLUSDT,StochRSI,1d,14,26
BUY,103.22,,SOLUSDT,StochRSI,1d,14,26
SELL,108.51,15527.500703722006,SOLUSDT,StochRSI,1d,14,26
BUY,42.04,,SOLUSDT,StochRSI,1d,14,26
SELL,30.44,-90686.89711194814,SOLUSDT,StochRSI,1d,14,26
BUY,30.8,,SOLUSDT,StochRSI,1d,14,26
SELL,30.85,52.46749147240189,SOLUSDT,StochRSI,1d,14,26
BUY,32.62,,SOLUSDT,StochRSI,1d,14,26
SELL,24.38,-60071.02414233392,SOLUSDT,StochRSI,1d,14,26
BUY,23.58,,SOLUSDT,StochRSI,1d,14,26
SELL,17.33,-47031.29701329976,SOLUSDT,StochRSI,1d,14,26
BUY,24.05,,SOLUSDT,StochRSI,1d,14,26
SELL,20.9,-17148.447074876793,SOLUSDT,StochRSI,1d,14,26
BUY,26.8,,SOLUSDT,StochRSI,1d,14,26
SELL,21.74,-21382.45122562122,SOLUSDT,StochRSI,1d,14,26
BUY,23.13,,SOLUSDT,StochRSI,1d,14,26
SELL,88.77,258300.30491455324,SOLUSDT,StochRSI,1d,14,26
BUY,96.96,,SOLUSDT,StochRSI,1d,14,26
SELL,151.25,194925.07559562294,SOLUSDT,StochRSI,1d,14,26
BUY,178.15,,SOLUSDT,StochRSI,1d,14,26
SELL,155.22,-70736.7140978353,SOLUSDT,StochRSI,1d,14,26
BUY,173.03,,SOLUSDT,StochRSI,1d,14,26
SELL,142.52,-84069.026501771,SOLUSDT,StochRSI,1d,14,26
BUY,138.33,,SOLUSDT,StochRSI,1d,14,26
SELL,144.4,16527.173117969418,SOLUSDT,StochRSI,1d,14,26
BUY,144.63,,SOLUSDT,StochRSI,1d,14,26
SELL,181.45,102681.88024251506,SOLUSDT,StochRSI,1d,14,26
BUY,242.19,,SOLUSDT,StochRSI,1d,14,26
SELL,199.32,-90652.21777210344,SOLUSDT,StochRSI,1d,14,26
BUY,149.21,,SOLUSDT,StochRSI,1d,14,26
SELL,150.06,1793.600803544221,SOLUSDT,StochRSI,1d,14,26
BUY,160.69,,SOLUSDT,StochRSI,1d,14,26
SELL,158.48,-6355.469391074672,SOLUSDT,StochRSI,1d,14,26
BUY,161.97,,SOLUSDT,StochRSI,1d,14,26
SELL,210.83,124015.31211964926,SOLUSDT,StochRSI,1d,14,26
BUY,219.97,,SOLUSDT,StochRSI,1d,14,26
