type,scenario,backtest_pair,ema_periods,price,profit,timeframe
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",43.615,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",66.989,12633.485741194167,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",67.445,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",70.813,1759.4716291361474,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",71.535,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",71.8,87.53329316710006,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",77.998,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",74.248,-1884.9580892202575,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",75.842,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",74.612,-638.0569091649668,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",74.611,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",72.44,-1085.0392420596181,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",74.92,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",111.06,16590.258804340272,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",115.06,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",113.7,-675.0799659787735,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",114.48,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",140.42,11346.23565854632,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",141.35,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",152.23,4663.906412745244,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",168.81,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",162.0,-2770.5986804668355,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",191.02,nan,1h
SELL,StochRSI_SMA,SOLUSDT,"(14, 26)",188.55,-911.6126256922798,1h
BUY,StochRSI_SMA,SOLUSDT,"(14, 26)",186.5,nan,1h
